X,Y,region,altitude,surface,parcelle_active,plante_reference,climat,typo_pays_principale,typo_pays_secondaire,bassin_prod_principal,bassin_prod_secondaire,topographie,plan_eau,exposition,orientation_vent,enclave,corridor,drain,biogeoregions,geometry,temperature,land_cover,theta,presence_absence,observation
0.535117398070717,47.5287938531313,CENTRE-VAL DE LOIRE,130,12.26,1,Ble,Semi-oceanique,Paysage mixte,Paysage mixte,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Ouest,0,1,0,,0.535117398070717|47.5287938531313,8.00069618225098,Extensive fields,0.223303282806085,1,Species observed
0.518865457431745,46.7091911241697,NOUVELLE-AQUITAINE,70,1.2,1,Salade,Oceanique a semi oceanique sud,Paysage mixte,Information inconnue,Zone de polyculture-elevage,Zone de polyculture-elevage,Plaine,0,Plein soleil,Ouest,0,1,0,,0.518865457431745|46.7091911241697,8.39901161193848,Extensive fields,0.678100922955882,1,Species observed
-0.386823305000023,47.496116575588,PAYS DE LOIRE,22,0.7,0,Salade,Oceanique a semi-oceanique nord,Paysage mixte,"Batis, milieu rural",Zone maraichere,Zone maraichere,Plaine,0,Plein soleil,Ouest,0,1,0,,-0.386823305000023|47.496116575588,8.57818031311035,Extensive fields,0.837657576265092,1,Species observed
1.21462706814808,48.1247284646605,CENTRE-VAL DE LOIRE,200,14,1,Ble,Semi-oceanique a semi-continental,Paysage mixte,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Haut de coteau,0,Plein soleil,Ouest,0,0,0,,1.21462706814808|48.1247284646605,7.29406118392944,Extensive fields,0.00832861938634277,0,Species not observed
1.59179111649,46.7141691494463,CENTRE-VAL DE LOIRE,184,21.5,0,Ble,Semi-continental sud,Paysage mixte,Paysage mixte,Zone de polyculture-elevage,Zone de polyculture-elevage,Haut de coteau,1,Plein soleil,Ouest,1,1,0,,1.59179111649|46.7141691494463,8.1611270904541,Extensive fields,0.39070147770958,0,Species not observed
4.76882469508873,48.3144037944782,GRAND-EST,167,9.45,0,Mais,Semi-continental nord,Open field,Paysage mixte,Zone de grandes cultures,Zone de grandes cultures,Fond de vallee,0,Plein soleil,Ouest,0,0,0,,4.76882469508873|48.3144037944782,6.56429433822632,Extensive fields,0.00021849513090319,0,Species not observed
0.281295152041607,44.1738093924628,NOUVELLE-AQUITAINE,190,1.6,1,Mais,Semi-oceanique a semi-continental,Paysage mixte,"Batis, milieu rural",Zone de grandes cultures,Zone de grandes cultures,Bas de coteau,0,Plein soleil,Ouest,0,0,0,,0.281295152041607|44.1738093924628,8.9683780670166,Extensive fields,0.973192242497873,1,Species observed
2.55713810552669,48.2628709606827,ILE-DE-FRANCE,100,0.01,1,Salade,Semi-oceanique,Paysage mixte,Paysage mixte,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Ouest,0,0,0,,2.55713810552669|48.2628709606827,7.59359121322632,Extensive fields,0.0361923512943252,0,Species not observed
4.00968740586458,49.1819216106459,GRAND-EST,115,0.06,1,Vigne,Semi-continental nord,Open field,Paysage mixte,Bassin viticole,Bassin viticole,Haut de coteau,0,Plein soleil,Ouest,0,1,0,,4.00968740586458|49.1819216106459,6.43099355697632,Agro-natural fields,1.459703919612e-09,0,Species not observed
-2.77021852426885,47.8804689864786,BRETAGNE,108,6,1,Mais,Oceanique,Bocage a dominante polyculture elevage,Information inconnue,Zone de polyculture-elevage,Zone de polyculture-elevage,Haut de coteau,0,Plein soleil,Ouest,0,1,0,,-2.77021852426885|47.8804689864786,8.30971717834473,Extensive fields,0.574096789952893,1,Species observed
1.63873034978261,48.4270975310217,CENTRE-VAL DE LOIRE,146,19,0,Ble,Semi-oceanique a semi-continental,Open field,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Ouest,1,1,1,,1.63873034978261|48.4270975310217,7.24352407455444,Extensive fields,0.00648099188328691,0,Species not observed
1.37705598866732,48.4497385765029,CENTRE-VAL DE LOIRE,170,11.5,1,Mais,Semi-oceanique a semi-continental,Open field,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Ouest,0,0,0,,1.37705598866732|48.4497385765029,7.12175893783569,Extensive fields,0.00353604072114691,0,Species not observed
1.71104690980231,48.3796769362,CENTRE-VAL DE LOIRE,150,10.94,1,Mais,Semi-oceanique a semi-continental,Open field,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Ouest,0,0,0,,1.71104690980231|48.3796769362,7.24352407455444,Extensive fields,0.00648099188328691,0,Species not observed
7.51748272038021,47.8695730936356,GRAND-EST,211,20.79,1,Mais,Semi-continental nord,Open field,Open field,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Ouest,0,1,0,,7.51748272038021|47.8695730936356,6.48970937728882,Extensive fields,0.000150491550767407,0,Species not observed
3.15378243971725,48.7393313637191,ILE-DE-FRANCE,106,7.86,1,Ble,Semi-oceanique,Open field,Paysage mixte,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Ouest,0,0,0,,3.15378243971725|48.7393313637191,7.00124502182007,Extensive fields,0.0019387428807264,0,Species not observed
3.10453336029563,48.6856644621933,ILE-DE-FRANCE,120,4.27,1,Ble,Semi-oceanique,Open field,Open field,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Ouest,0,0,1,,3.10453336029563|48.6856644621933,7.04158926010132,Extensive fields,0.00237103774495933,0,Species not observed
1.42230390737037,47.9466239073336,CENTRE-VAL DE LOIRE,126,7.07,1,Mais,Semi-oceanique,Open field,Information inconnue,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Ouest,0,1,0,,1.42230390737037|47.9466239073336,7.66155385971069,Extensive fields,0.050104997487653,0,Species not observed
0.876869411211185,47.2086148095933,CENTRE-VAL DE LOIRE,100,13.18,1,Ble,Semi-oceanique,Open field,Open field,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Ouest,0,1,0,,0.876869411211185|47.2086148095933,8.23891639709473,Extensive fields,0.486149041058664,0,Species not observed
